Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
Iran,2018,4.278117656707764,9.886064529418945,0.673764705657959,66.0,0.6033198833465576,0.04471550136804581,0.7034397721290588,0.5531966090202332,0.49314889311790466,0.5499407052993774,-1.8721482320031102,-0.8086759274718585,2.3757083415985107,0.5553162693977356,0.4923333333333356,0.41339999999999993,0.4405861496925354,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.554280698299408,0.10536182671785355,0.23749304511730077
Ireland,2018,6.962335586547852,11.163328170776367,0.9378623962402344,72.30000305175781,0.8614715933799744,0.13978342711925507,0.3622102439403534,0.8108572363853455,0.21305006742477417,0.618405282497406,1.4624135360643318,1.6963867662378063,1.86378812789917,0.267695814371109,0.9089261039351173,0.3261538461538461,0.36641061305999756,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.2643360556709388,0.23749304511730077
Israel,2018,6.927178859710693,10.42457389831543,0.9095954298973083,73.30000305175781,0.7246623039245605,0.05254996195435524,0.7701348066329956,0.6634896397590637,0.2820625603199005,0.42232972383499146,-1.1196847436416015,0.8192218235909443,1.7349070310592651,0.2504492998123169,0.2692000000000063,0.4112,0.26186177134513855,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.23025210201740265,0.2643360556709388,0.23749304511730077
Italy,2018,6.516526699066162,10.48051643371582,0.9126561284065247,73.5999984741211,0.650009274482727,-0.023462269455194473,0.8878248333930969,0.6490230560302734,0.4029753506183624,0.20662619173526764,0.42667171272536875,0.39618840694526686,1.5227446556091309,0.23367427289485931,0.5107900837089465,0.34400000000000003,0.45749086141586304,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.2825203239917755,0.23749304511730077
Ivory Coast,2018,5.268374919891357,8.236133575439453,0.6208825707435608,49.5,0.7125900387763977,-0.036959659308195114,0.7909668684005737,0.682098388671875,0.38563138246536255,0.5354387164115906,-0.7666344344615936,-0.6496580067802877,3.0782408714294434,0.584286630153656,0.3737979789250913,0.42,0.5202443599700928,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.2643360556709388,0.23749304511730077
Japan,2018,5.793575286865234,10.581618309020996,0.8864319324493408,75.0,0.7734721302986145,-0.2729722857475281,0.6867845058441162,0.7033550143241882,0.18530015647411346,0.384880393743515,1.5718482559642972,1.1919759595062913,1.9160255193710327,0.3307155668735504,0.3737979789250913,0.321,0.41866180300712585,0.1911082978153389,0.4076225757598877,0.37586548924446106,0.24957434069304985,0.39647576212882996,0.36587589979171753,0.3593941926956177
Jordan,2018,4.6389336585998535,9.024435043334961,0.7995443344116211,66.80000305175781,0.7624202966690063,-0.18348969519138336,-5.664910510182294,0.8700643444549154,0.5826791819576054,0.6140877604484496,-1.1581408532347506,0.3231685185335093,2.764460563659668,0.5959258675575256,0.38099999999999756,0.34299999999999997,0.39105111360549927,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.27410468459129333,0.30873093008995056,0.13249999284744263
Kazakhstan,2018,6.007636070251465,10.111166000366211,0.9366567134857178,64.5999984741211,0.8401829600334167,-0.10859531164169312,0.8237829804420471,0.6931987404823303,0.16154228150844574,0.6150319576263428,-0.8183786169868726,0.10576788441572416,1.8786886930465698,0.3127167820930481,0.0736193747852957,0.30586666666666673,0.38401079177856445,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.2643360556709388,0.383327454328537
Kenya,2018,4.655702590942383,8.03267765045166,0.7067198753356934,60.099998474121094,0.821412980556488,0.30665308237075806,0.8442440629005432,0.7591028809547424,0.2369207739830017,0.6753672957420349,-0.12151791361848652,-0.7158725302174407,2.7492306232452393,0.590508222579956,0.3737979789250913,0.4365,0.5841870307922363,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.2643360556709388,0.23749304511730077
Kosovo,2018,6.3918256759643555,9.22545337677002,0.822406530380249,65.14982604980469,0.8897370100021362,0.7100566862002207,0.9220781922340393,0.7782713174819946,0.17024846374988556,0.3475465476512909,0.18873161981499753,-0.9198150731080015,2.5638010501861572,0.40110620856285095,0.5605789473684214,0.28990909090909095,0.40230226516723633,-0.9491208791732827,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.2643360556709388,0.23749304511730077
